Date,Open,High,Low,Close,Volume,Adjusted Close
2016-02-23,19.75,21.16,19.540001,20.98,0.0,20.98
2016-02-24,22.280001,22.870001,20.26,20.719999,0.0,20.719999
2016-02-25,20.540001,21.26,19.1,19.110001,0.0,19.110001
2016-02-26,18.889999,20.129999,18.459999,19.809999,0.0,19.809999
2016-02-29,20.49,20.809999,18.379999,20.549999,0.0,20.549999
2016-03-01,19.84,20.17,17.66,17.700001,0.0,17.700001
2016-03-02,17.98,18.41,16.780001,17.09,0.0,17.09
2016-03-03,17.25,17.559999,16.32,16.700001,0.0,16.700001
2016-03-04,16.48,17.35,16.049999,16.860001,0.0,16.860001
2016-03-07,17.98,18.040001,16.870001,17.35,0.0,17.35
2016-03-08,18.379999,18.889999,17.82,18.67,0.0,18.67
2016-03-09,18.559999,19.110001,18.309999,18.34,0.0,18.34
2016-03-10,18.17,19.59,17.059999,18.049999,0.0,18.049999
2016-03-11,17.09,17.27,16.280001,16.5,0.0,16.5
2016-03-14,17.01,17.67,16.690001,16.92,0.0,16.92
2016-03-15,17.6,17.85,16.84,16.84,0.0,16.84
2016-03-16,15.96,16.33,14.89,14.99,0.0,14.99
2016-03-17,15.34,15.38,13.82,14.44,0.0,14.44
2016-03-18,14.05,14.36,13.75,14.02,0.0,14.02
2016-03-21,14.57,14.73,13.79,13.79,0.0,13.79
2016-03-22,14.57,14.76,13.75,14.17,0.0,14.17
2016-03-23,14.57,15.03,14.33,14.94,0.0,14.94
2016-03-24,16.299999,16.440001,14.71,14.74,0.0,14.74
2016-03-28,15.65,16.040001,14.89,15.24,0.0,15.24
2016-03-29,15.74,15.89,13.79,13.82,0.0,13.82
2016-03-30,13.69,13.89,13.06,13.56,0.0,13.56
2016-03-31,13.73,14.28,13.49,13.95,0.0,13.95
2016-04-01,15.23,15.28,13.0,13.1,0.0,13.1
2016-04-04,13.88,14.24,13.66,14.12,0.0,14.12
2016-04-05,15.39,15.72,14.93,15.42,0.0,15.42
2016-04-06,15.61,15.98,14.0,14.09,0.0,14.09
2016-04-07,15.14,16.77,14.68,16.16,0.0,16.16
2016-04-08,15.34,15.93,14.84,15.36,0.0,15.36
2016-04-11,15.34,16.26,14.83,16.26,0.0,16.26
2016-04-12,15.98,16.57,14.84,14.85,0.0,14.85
2016-04-13,14.49,14.53,13.6,13.84,0.0,13.84
2016-04-14,13.9,14.12,13.38,13.72,0.0,13.72
2016-04-15,13.77,14.19,13.58,13.62,0.0,13.62
2016-04-18,14.87,14.94,13.23,13.35,0.0,13.35
2016-04-19,13.18,13.88,12.98,13.24,0.0,13.24
2016-04-20,13.39,13.5,12.5,13.28,0.0,13.28
2016-04-21,13.2,14.14,13.16,13.95,0.0,13.95
2016-04-22,13.7,14.19,13.15,13.22,0.0,13.22
2016-04-25,14.07,14.76,13.86,14.08,0.0,14.08
2016-04-26,14.01,14.43,13.66,13.96,0.0,13.96
2016-04-27,14.15,14.95,13.5,13.77,0.0,13.77
2016-04-28,14.53,15.61,13.3,15.22,0.0,15.22
2016-04-29,15.21,17.09,14.91,15.7,0.0,15.7
2016-05-02,16.33,16.5,14.48,14.68,0.0,14.68
2016-05-03,14.92,16.42,14.91,15.6,0.0,15.6
2016-05-04,15.47,16.85,15.39,16.049999,0.0,16.049999
2016-05-05,15.54,16.450001,15.22,15.91,0.0,15.91
2016-05-06,16.200001,16.58,14.71,14.72,0.0,14.72
2016-05-09,15.2,15.39,14.17,14.57,0.0,14.57
2016-05-10,13.98,14.35,13.55,13.63,0.0,13.63
2016-05-11,13.92,14.69,13.29,14.69,0.0,14.69
2016-05-12,14.55,15.42,13.95,14.41,0.0,14.41
2016-05-13,15.15,15.47,13.97,15.04,0.0,15.04
2016-05-16,15.72,15.98,14.28,14.68,0.0,14.68
2016-05-17,14.57,16.120001,14.48,15.57,0.0,15.57
2016-05-18,15.72,16.469999,14.86,15.95,0.0,15.95
2016-05-19,16.370001,17.65,16.280001,16.33,0.0,16.33
2016-05-20,16.129999,16.299999,15.11,15.2,0.0,15.2
